number,document_id,title,filename,source_mode,available_at,pages,sha256,source_url
01,DUO-BACKGROUND-01,Duolingo Company Background,01 memo - Duolingo Company Background.pdf,real_background_digest,2026-02-27,1,0d8344a106412a4dafb0e8770c0e728446d70450f5246f90a2acd22074f7018d,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm
01,DUO-SEC-2025,Duolingo Inc FY2025 Form 10-K,sources/01 Duolingo FY2025 Form 10-K.pdf,real_public_filing,2026-02-27,123,becb131400e01f8663dd5f09a5655ad9a27c8d38bb4d693e170609089da453c1,https://investors.duolingo.com/static-files/f19d76fb-dee4-4f13-96ae-138ebfd0f2d3
02,DUO-CA-2026-10-01,Original Credit Agreement,02 Credit Agreement - Original Credit Agreement.pdf,synthetic,2026-10-01,3,11dc8cc3564aead111e906c6778503778cfccab075314c9b19f2bdb93d0df6f5,Authored synthetic scenario
03,DUO-MEMO-2026-10-01,Underwriting Memo,03 memo - Underwriting Memo.pdf,synthetic,2026-10-01,2,29da8ec6f1eaddf1697eddfdede89b7c4c2f8fe07b33b739b665eb589945d781,Authored synthetic scenario
04,DUO-MODEL-2026-10-01,Opening Financial and Operating Model,04 memo - Opening Financial and Operating Model.xlsx,synthetic,2026-10-01,,338ed7dd4a5a94aadc913a523c308e3fda08d5992511733d13148fb9029954f8,Authored synthetic scenario
04,DUO-MODEL-2026-10-01,Opening Financial and Operating Schedules,04 memo - Opening Financial and Operating Schedules.pdf,synthetic,2026-10-01,4,e8a1bc96adcf606de84eb2f52f40fb87c07ee6de1ceb31a84c240a917b38e1f2,Authored synthetic scenario
05,DUO-POLICY-2026-10-01,Lender Review Guidelines,05 memo - Lender Review Guidelines.pdf,synthetic,2026-10-01,2,3f6677ec544c98dded6864c10d38d30e5affb696bc69afd6d133a140f716de85,Authored synthetic scenario
06,DUO-MGMT-2026-10,October Routine Management Report,06 Reports - October Routine Management Report.pdf,synthetic,2026-11-18,2,b7c9305757f1a7e300c37eb5fe048ace1932fbac0d5e4f3adb2a1bb828624d1b,Authored synthetic scenario
07,DUO-INDUSTRY-2026-12-07,External Learning Subscription Report,07 Reports - External Learning Subscription Report.pdf,synthetic,2026-12-07,1,0f004ca9ae603cd16eeee4921f4e2a33600ba961b647307216690b3aaccf7e1c,Authored synthetic scenario
08,DUO-MGMT-2026-12,December Company Impact and Cash Report,08 Reports - December Company Impact and Cash Report.pdf,synthetic,2027-01-19,3,b38723e70fdbb665b7029f6bb1540087325a5b50ff338751d32467795096955d,Authored synthetic scenario
09,DUO-MGMT-2027-01,January Mitigation and Updated Forecast,09 Reports - January Mitigation and Updated Forecast.pdf,synthetic,2027-02-12,2,51348607156367d5755e2f345f58e01ffdef91cda9e6b769101b6d0f3f38a0f1,Authored synthetic scenario
10,DUO-10,Processor Settlement Timing Notice,10 Reports - Processor Settlement Timing Notice.pdf,synthetic,2027-02-19,1,1da3489c9261fb3aaf8ec3421c2bc963c611e64e3ee4ccc5fb9673074d5bc6e7,Authored synthetic scenario
11,DUO-11,Treasury Forecast and Settlement Receivables,11 Reports - Treasury Forecast and Settlement Receivables.pdf,synthetic,2027-02-26,2,e475b58f51dc8fb3821bb723d73e5f6b69e588c495b7ddbde682c089a246d94d,Authored synthetic scenario
12,DUO-12,March Cash Results and Settlement Follow-up,12 Reports - March Cash Results and Settlement Follow-up.pdf,synthetic,2027-04-01,1,1517770768804a2e9f327c70aabccd325eea550a004551287745fdf8eff65b57,Authored synthetic scenario
13,DUO-13,Service Shutdown and Missed Interest Payment,13 Reports - Service Shutdown and Missed Interest Payment.pdf,synthetic,2027-05-11,5,5d960f45504c6db27e29662e186febf10d7158f45f30064d19490c102241fe54,Authored synthetic scenario
