number,document_id,title,filename,source_mode,available_at,pages,sha256,source_url
01,PLNT-01,Planet Fitness Company Background,01 memo - Planet Fitness Company Background.pdf,real_background_digest,2026-02-25,1,7588516b9db8f110567ca0ba6c0898e212f123318ca425eeed7178606c3e1036,https://www.sec.gov/Archives/edgar/data/1637207/000163720726000011/plnt-20251231.htm
01,PLNT-SEC-FY2025,Planet Fitness FY2025 Annual Report,sources/01 Planet Fitness FY2025 Annual Report.pdf,real_public_filing,2026-02-25,120,44648f1ec1fa04a44c6f333f4b4dd4c71302c3bafa6b47de86f9e18d879ed529,https://s2.q4cdn.com/945805771/files/doc_financials/2026/453972_P40887_PF_2025-AR_PROOF_rev1_MS.pdf
02,PLNT-02,Original Credit Agreement,02 Credit Agreement - Original Credit Agreement.pdf,synthetic,2026-10-01,3,350501d4b15576e3b3ecda4e366636e81783c1306026898de3f80d62261712c2,Authored synthetic scenario
03,PLNT-03,Underwriting Memo,03 memo - Underwriting Memo.pdf,synthetic,2026-10-01,1,5d754e609ad6233ab1900e814b2924822ac3b81fc92704ad19a2864fd475f194,Authored synthetic scenario
04,PLNT-04,Opening Financial and Operating Model,04 memo - Opening Financial and Operating Model.xlsx,synthetic,2026-10-01,,998b12d2e98a6df5d4de8a276e74f5ce615096ed419f60bcd0e7ea6ebab7193e,Authored synthetic scenario
04,PLNT-04,Opening Financial and Operating Schedules,04 memo - Opening Financial and Operating Schedules.pdf,synthetic,2026-10-01,2,8f27b1faf72192dbc9c116f5380e1e783284e884b2933399e61e57ae67dd4ea9,Authored synthetic scenario
05,PLNT-05,Lender Review Guidelines,05 memo - Lender Review Guidelines.pdf,synthetic,2026-10-01,1,ec601342daaab2a641543aa3a51857f6b5be0b959e14a62b7db875272fba7f24,Authored synthetic scenario
06,PLNT-06,October Routine Management Report,06 Reports - October Routine Management Report.pdf,synthetic,2026-11-18,1,692495651a0e1e5fbb369a23789684d9fb1beebe708ecb415be2681aa415bf9e,Authored synthetic scenario
07,FITNESS-2026-12-07,External Gym Membership and Collections Report,07 Reports - External Gym Membership and Collections Report.pdf,synthetic,2026-12-07,1,80835580b4cd2cebe833ebca9b29f436d6ad0fd6d45bc2525693974e657c4ef8,Authored synthetic scenario
08,PLNT-08,December Company Impact and Cash Report,08 Reports - December Company Impact and Cash Report.pdf,synthetic,2027-01-19,2,24742db94e854316ab4d7d01eb6a5c146cd5337026e2a3b24b6a88bb06db1e90,Authored synthetic scenario
09,PLNT-09,January Mitigation and Updated Forecast,09 Reports - January Mitigation and Updated Forecast.pdf,synthetic,2027-02-12,2,8b2f3dc41daafef0acb3a17586055ec38a6dd8a9be343e88a076ddccc6e27dd1,Authored synthetic scenario
10,PLNT-10,Club Repair Commitments and Payment Schedule,10 Reports - Club Repair Commitments and Payment Schedule.pdf,synthetic,2027-02-19,1,8e876719d7bb5cb1721ce1a33fcbbcff7983e6c67b1653d19db1f65de4735217,Authored synthetic scenario
11,PLNT-11,Club Cash Forecast and Upcoming Equipment Payment,11 Reports - Club Cash Forecast and Upcoming Equipment Payment.pdf,synthetic,2027-02-26,2,b990008d4e1a2188e31ad9e8edc39415b5f443d5f52f6ab084f8c06bb5a10bb6,Authored synthetic scenario
12,PLNT-12,May Cash Results and Landlord Reimbursement Follow-up,12 Reports - May Cash Results and Landlord Reimbursement Follow-up.pdf,synthetic,2027-06-01,1,9f071e6f6393aa573ab3086258e5e3b9ec32f20de26dd0a2e601b35b18bbc828,Authored synthetic scenario
13,PLNT-13,Emergency Club Closures and Payroll Funding Shortfall,13 Reports - Emergency Club Closures and Payroll Funding Shortfall.pdf,synthetic,2027-06-14,5,575b67ff26d17cb8fe76e2a056c0d3a1645e8aab613f57ea1d4c972f6040c387,Authored synthetic scenario
