number,document_id,title,filename,source_mode,available_at,pages,sha256,source_url
01,YETI-01,YETI Company Background,01 memo - YETI Company Background.pdf,real_background_digest,2026-02-27,1,7f224370f305fb2ed1e4246b2f99de86ed1962d4934d4a3f74b0f7f85a06bb13,https://www.sec.gov/Archives/edgar/data/1670592/000167059226000013/yeti-20260103.htm
01,YETI-SEC-FY2025,YETI FY2025 Annual Report,sources/01 YETI FY2025 Annual Report.pdf,real_public_filing,2026-02-27,120,068e7e814e7319ea4d28567e1fdde5c3aff505aa7fdbc629cc2ee5a91da1afeb,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001670592/314070a9-7ae1-401e-b9eb-7c6d25714d2d.pdf
02,YETI-02,Original Credit Agreement,02 Credit Agreement - Original Credit Agreement.pdf,synthetic,2026-10-01,3,b4d8624cf853d293de2c6c320c2cd3cdb432e9f8a2afc54ffc4163187ff20a7c,Authored synthetic scenario
03,YETI-03,Underwriting Memo,03 memo - Underwriting Memo.pdf,synthetic,2026-10-01,1,fb1cea80fd2c22c0479522ef3e761f670458f6e7dc799973e230f6442978ed9f,Authored synthetic scenario
04,YETI-04,Opening Financial and Operating Model,04 memo - Opening Financial and Operating Model.xlsx,synthetic,2026-10-01,,1e067bb02940400f0e3f283e78af90e76bf32f2ec1eb20eb5b508d3b608f7564,Authored synthetic scenario
04,YETI-04,Opening Financial and Operating Schedules,04 memo - Opening Financial and Operating Schedules.pdf,synthetic,2026-10-01,2,3f2ae8089e2cf3d7893c8fc86ea266a5d27d9b1814bff2c6f90f2675b64adc6a,Authored synthetic scenario
05,YETI-05,Lender Review Guidelines,05 memo - Lender Review Guidelines.pdf,synthetic,2026-10-01,1,335f2f0dad3cf1c560a26ba8efba05683e13e3bef38c4d79992fe8904f0505f3,Authored synthetic scenario
06,YETI-06,October Routine Management Report,06 Reports - October Routine Management Report.pdf,synthetic,2026-11-18,1,6335e602a37adb8b88389b66d682b6320f78e1bdb5465f4c65f592488d745dd3,Authored synthetic scenario
07,LOGISTICS-2026-12-07,External Freight and Inventory Report,07 Reports - External Freight and Inventory Report.pdf,synthetic,2026-12-07,1,185a5fa06a8b77359dd4610c67cd0c14d59f089879d9bc6505ab579c10e95c72,Authored synthetic scenario
08,YETI-08,December Company Impact and Cash Report,08 Reports - December Company Impact and Cash Report.pdf,synthetic,2027-01-19,2,aa39bbc9269f01b02ed29f5ff85ae31c7dfff9a7a65c1269086f048ec9014439,Authored synthetic scenario
09,YETI-09,January Mitigation and Updated Forecast,09 Reports - January Mitigation and Updated Forecast.pdf,synthetic,2027-02-12,2,1cf20a87840f0a28b349f95a37a24db469a20368cb5ec1654710938ea9281bba,Authored synthetic scenario
10,YETI-10,Supplier Payment Schedule Update,10 Reports - Supplier Payment Schedule Update.pdf,synthetic,2027-02-19,1,11f89083ef6a3596e54a5cadc1e97f1b8ce09ae62d6c2ba5acda69a56fe16052,Authored synthetic scenario
11,YETI-11,Procurement Cash Forecast and Working Capital,11 Reports - Procurement Cash Forecast and Working Capital.pdf,synthetic,2027-02-26,2,e9de0796b6aafb987d6de3208c2e3e5d322dfd63c480c407e85f5d269583f630,Authored synthetic scenario
12,YETI-12,March Cash Results and Supplier Follow-up,12 Reports - March Cash Results and Supplier Follow-up.pdf,synthetic,2027-04-01,1,826f92235a16be309504a92672cf793a5ac90902de1ee8c9c69a99aba586643f,Authored synthetic scenario
13,YETI-13,Product Recall and Missed Interest Payment,13 Reports - Product Recall and Missed Interest Payment.pdf,synthetic,2027-05-11,5,fee080272d844006c757b61cdbecbe7183901f890fd6074ace0e184bd152ec5a,Authored synthetic scenario
